,LISACBE,TwinLISA,LISAGrande,LISAU,GoBIGLISA,ALIA,ALIAtwin,GoBIGALIA
"1a-1a: ['2.1.b', '2.3.b']",2.485916725764953,0.029375583830553432,0.045484948222475126,0.00718285852023704,0.000645929138155493,7.999476501448603,0.01890578199274543,0.0006301927331479934
1a-1b: ['1.1.f'],341.0526015521911,241.16060729886797,397.8738892524348,1304.622673427527,355.6094066999374,19.876171124653673,14.05457538626686,14.05457538626686
1a-1c: ['1.2.c'],69.43262510097537,49.09628004448299,80.54988585230416,264.106603230467,72.09340246499137,4.3552239639068455,3.079608398464686,3.079608398464686
1a-1e: ['1.3.g'],57.974864678952905,39.870210765461465,67.63678695141562,216.78433552813954,59.01434086100695,3.030327714270315,2.142765275978071,2.142765275978071
"1a-2a: ['2.1.f', '2.3.c']",180.80881071707626,2.1365840963894316,3.232332110442435,0.4482054137522035,0.052074473059355156,389.4542039251676,0.9204279676350458,0.030680932257512943
1a-2b: ['1.3.f'],4481.700282323959,2567.9106519634774,3826.774804329363,7937.669384523473,180.4495426176633,646.9987026870829,327.31387900493024,15.615970321536953
1a-2c: ['1.1.g'],139709.68964290767,80784.83338706405,161410.25671274983,337305.89209788485,6884.850084898557,8304.059229709177,4780.855610095813,274.48253713975623
1a-2d: ['1.2.d'],52459.84995291933,30297.08320828178,59655.684647859984,124410.4198525759,2546.634782351807,3598.7718976212727,2054.8485630754726,116.11753599164808
"1a-2f: ['3.1.b', '3.2.b', '3.3.f', '3.4.b']",241.96623853219617,112.66063707306424,28.674673934934606,23.48461176408302,3.1061432514613716,221.98163680154218,90.45008432277002,3.68906149461674
"1a-2g: ['5.1.e', '5.2.d', '5.3.d', '5.4.d', '5.5.c', '5.6.b', '5.7.b']",0.8613733961515223,0.2741443252915938,0.14979299320126485,0.02805622633624738,0.008830593790128141,0.3524372131090415,0.04031333434000577,0.016683449783704177
1a-3c: ['1.1.h'],2328.4948273817945,1346.4138897844007,2690.1709452124974,5621.764868298082,1189.051266213144,138.40098716181961,79.68092683493022,53.3937650833774
1a-3d: ['1.2.e'],874.3308325486555,504.95138680469637,994.2614107976664,2073.506997542932,292.37069065665247,59.97953162702122,34.24747605125788,16.256922930915298
1a-4b: ['1.1.i'],1148.732349586162,812.2764341607309,1327.1408575522578,4351.233319411206,1189.051266213144,75.51018672707532,53.3937650833774,53.3937650833774
"1b-1a: ['2.1.c', '2.1.d', '2.1.e']",7.4881971116485575,0.08848651623507812,0.10774440368141451,0.014940180458406786,0.0017667211902410703,30.31335057882623,0.07164194032839481,0.0023880646778467645
"1b-1b: ['1.3.c', '1.3.d', '1.3.e']",149.39000941079863,85.59702173211592,127.5591601443121,264.5889794841158,6.014984753922111,21.566623422902765,10.910462633497675,0.7883159783975141
"1b-1c: ['1.1.c', '1.1.d', '1.1.e']",4656.989654763589,2692.8277795688014,5380.341890424995,11243.529736596163,1189.051266213144,276.80197432363923,159.36185366986044,53.3937650833774
"1b-1e: ['4.1.c', '4.1.d']",10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0
1b-3b: ['5.5.c'],18.320641536327603,12.954649866025177,16.672965368677616,54.46914830363369,16.101079548751816,2.608002205916747,1.8441360451532065,1.8441360451532065
1d-2e: ['3.3.a'],489.85085236904223,225.1793904671581,53.134115866294835,33.39866673211638,5.719919981776837,468.2946232727611,200.7722234712037,8.415711150507285
"2a-1a: ['2.1.a', '2.1.b', '2.1.c', '2.3.b']",2.485916725764953,0.029375583830553432,0.045484948222475126,0.00718285852023704,0.000645929138155493,7.999476501448603,0.01890578199274543,0.0006301927331479934
"2a-2a: ['2.1.a', '2.1.b', '2.1.c']",7.4881971116485575,0.08848651623507812,0.10774440368141451,0.014940180458406786,0.0017667211902410703,30.31335057882623,0.07164194032839481,0.0023880646778467645
"2a-3a: ['2.1.a', '2.1.b', '2.1.d']",55963.448054967135,661.3101552558162,560.4237409877929,6.406762482582803,11.022483507799764,280032.7774804519,661.8608993818133,22.06202999543353
"2b-1a: ['3.3.c', '3.3.e']",7293.049881333367,3703.7791600728624,727.2681612867742,146.11072587753222,89.24725383976296,7291.804826018983,3698.5181609839437,176.93974006199255
2b-2a: ['3.3.b'],489.85085236904223,225.1793904671581,53.134115866294835,33.39866673211638,5.719919981776837,468.2946232727611,200.7722234712037,8.415711150507285
2b-3a: ['3.5.a'],408.4485189833388,232.10925592044737,187.644109111412,373.28214914275003,12.12819985735308,103.55990848271335,56.99906282726863,3.0264000361236314
2b-3b: ['3.6.a'],66.50308417405392,38.0272203610171,16.992941675227037,28.71728415198981,1.6046526984989542,31.566883463254488,17.569605167402173,0.9495134252175474
"2c-1a: ['5.5.a', '5.6.a']",21.93056986952044,15.507254670023281,17.606675478012043,57.32834162444378,17.97086666971302,3.459128538167441,2.445973246334107,2.445973246334107
2e-1b: ['3.4.a'],1891.1528252594467,1062.1676913609217,236.53572159084217,237.61966817842807,33.301548177121795,1674.1452058444654,937.0109770624942,51.10763511039881
