,LISACBE,TwinLISA,LISAGrande,LISAU,GoBIGLISA,ALIA,ALIAtwin,GoBIGALIA
XX1.1.bXX,184.22279685207894,106.10113344768106,214.20539145805654,485.1049596557295,132.18949028754275,10.076942247437804,5.7978392019725495,5.133710172071855
1.1.c,4656.989654763589,2692.8277795688014,5380.341890424994,11243.529736596163,1189.051266213144,276.80197432363923,159.36185366986044,53.3937650833774
1.1.d,49772.622444653796,28729.028894880852,48492.18265273854,101389.65184289048,2188.0056801934056,5826.011910874436,3119.066515076804,159.1509123465558
1.1.e,284314.7460367609,164238.40823159754,302516.96146235237,631784.8899168926,13204.5444521518,26690.517817360484,14805.279101254448,795.7591484411042
1.1.f,341.0526015521911,241.16060729886797,397.8738892524348,1304.622673427527,355.6094066999374,19.876171124653673,14.05457538626686,14.05457538626686
1.1.g,139709.68964290767,80784.83338706405,161410.2567127498,337305.89209788485,6884.850084898557,8304.059229709177,4780.855610095813,274.48253713975623
1.1.h,2328.4948273817945,1346.4138897844007,2690.170945212497,5621.764868298082,1189.051266213144,138.40098716181961,79.68092683493022,53.3937650833774
1.1.i,1148.732349586162,812.2764341607309,1327.1408575522578,4351.233319411206,1189.051266213144,75.51018672707532,53.3937650833774,53.3937650833774
XX1.2.bXX,257.0502292752533,147.99520242025085,295.66404320158523,613.1343590041763,111.4672614327328,16.092300168907457,9.24367697766159,5.233995840568996
1.2.c,69.43262510097537,49.09628004448299,80.54988585230416,264.106603230467,72.09340246499137,4.3552239639068455,3.079608398464686,3.079608398464686
1.2.d,52459.84995291933,30297.08320828178,59655.684647860005,124410.4198525759,2546.634782351807,3598.7718976212727,2054.8485630754726,116.11753599164808
1.2.e,874.3308325486555,504.95138680469637,994.2614107976668,2073.506997542932,292.37069065665247,59.97953162702122,34.24747605125788,16.256922930915298
XX1.3.bXX,20.265216348591288,11.647299812667901,18.919780747514796,39.10354160134901,1.8022654324522909,2.6127495167896795,1.4765540373278407,0.22851810180719778
1.3.c,149.39000941079863,85.59702173211592,127.5591601443121,264.5889794841158,6.014984753922111,21.566623422902765,10.910462633497675,0.7883159783975141
1.3.d,3932.117901820518,1970.0004987278062,1355.2062223946227,2415.6752703324464,94.510054804579,1402.231802857001,342.18804732738005,12.152857617952353
1.3.e,16224.716794728796,8754.707719178261,7545.465724441837,14749.423126604184,474.630990726205,4074.0832845085433,1480.9211249378966,57.55015976071976
